wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
1358.0,1.000000000,0.066650502,0.003802210,0.000074290
1359.0,1.000000000,0.066676699,0.003811310,0.000074730
1360.0,1.000000000,0.066803500,0.003823130,0.000075230
1361.0,1.000000000,0.066910900,0.003836600,0.000075620
1362.0,1.000000000,0.066984802,0.003847710,0.000075990
1363.0,1.000000000,0.067040600,0.003857290,0.000076370
1364.0,1.000000000,0.067201898,0.003869770,0.000076920
1365.0,1.000000000,0.067320898,0.003884350,0.000077330
1366.0,1.000000000,0.067394398,0.003898310,0.000077680
1367.0,1.000000000,0.067497201,0.003910300,0.000078170
1368.0,1.000000000,0.067632802,0.003927430,0.000078660
1369.0,1.000000000,0.067686602,0.003937590,0.000079170
1370.0,1.000000000,0.067800499,0.003948630,0.000079690
1371.0,1.000000000,0.067903601,0.003961860,0.000080320
1372.0,1.000000000,0.068094797,0.003982960,0.000080750
1373.0,1.000000000,0.068168700,0.003992930,0.000081290
1374.0,1.000000000,0.068282999,0.004003880,0.000081740
1375.0,1.000000000,0.068471797,0.004024640,0.000082330
1376.0,1.000000000,0.068587199,0.004040580,0.000083030
1377.0,1.000000000,0.068669803,0.004053560,0.000083770
